customer_id,email,first_name,last_name,signup_date,segment,region,city,age,gender,marketing_opt_in,preferred_channel,lifetime_value,total_orders,tenure_days
CUST-00001,customer_00001@email.com,Chris,Jones,2022-04-25,Silver,Central,Chicago,42,F,True,SMS,1684.8,6,1322
CUST-00003,customer_00003@email.com,Sarah,Brown,2024-07-05,Bronze,South,Philadelphia,37,M,True,SMS,4812.28,8,520
CUST-00004,customer_00004@email.com,Lisa,Johnson,2024-03-09,Bronze,Central,Houston,43,F,True,Push,1934.28,35,638
CUST-00005,customer_00005@email.com,Emily,Williams,2023-08-21,Gold,East,Philadelphia,50,Prefer not to say,False,Email,4023.94,47,839
CUST-00006,customer_00006@email.com,Emily,Johnson,2022-08-19,Bronze,East,Philadelphia,44,M,True,SMS,130.29,36,1206
CUST-00007,customer_00007@email.com,Chris,Williams,2023-04-11,Gold,South,Houston,39,F,False,SMS,2521.54,42,971
CUST-00008,invalid-email,Emily,Williams,2023-11-03,Bronze,West,San Diego,47,F,True,SMS,742.79,35,765
CUST-00009,customer_00009@email.com,Mike,Jones,2022-09-27,Bronze,North,Dallas,20,M,True,Email,2091.34,41,1167
CUST-00010,customer_00010@email.com,Jane,Garcia,2021-04-18,Silver,South,New York,31,Prefer not to say,True,Email,3108.28,43,1694
CUST-00011,customer_00011@email.com,Lisa,Garcia,2023-06-16,Bronze,West,New York,18,Prefer not to say,True,Email,2670.62,18,905
CUST-00012,customer_00012@email.com,David,Smith,2023-01-02,Silver,Central,San Antonio,69,F,True,Email,2645.71,16,1070
CUST-00013,customer_00013@email.com,David,Miller,2021-01-28,Gold,East,Phoenix,68,Prefer not to say,True,Push,4798.52,30,1774
CUST-00014,customer_00014@email.com,Sarah,Garcia,2023-03-03,Gold,South,Phoenix,61,M,True,Email,2056.13,25,1010
CUST-00015,customer_00015@email.com,Lisa,Smith,2023-02-05,Bronze,North,Chicago,23,Prefer not to say,False,Push,2850.99,7,1036
CUST-00016,customer_00016@email.com,John,Johnson,2022-12-17,Bronze,South,Austin,48,Other,True,Email,3437.92,18,1086
CUST-00017,customer_00017@email.com,John,Johnson,2023-01-17,Gold,East,New York,31,F,False,Email,1531.42,37,1055
CUST-00018,customer_00018@email.com,Chris,Garcia,2021-05-07,Gold,Central,Philadelphia,42,F,True,Push,315.8,28,1675
CUST-00019,customer_00019@email.com,Jane,Williams,2021-04-20,Bronze,Central,Austin,56,Prefer not to say,True,Email,3188.91,29,1692
CUST-00020,customer_00020@email.com,Sarah,Williams,2022-10-01,Gold,Central,San Antonio,45,F,False,Email,3872.23,19,1163
CUST-00021,customer_00021@email.com,Sarah,Garcia,2024-06-22,Silver,North,Los Angeles,35,F,False,SMS,3711.29,21,533
CUST-00022,customer_00022@email.com,Jane,Smith,2022-01-08,Bronze,North,Phoenix,46,Other,True,Email,705.91,12,1429
CUST-00023,customer_00023@email.com,Lisa,Jones,2022-06-01,Gold,Central,Dallas,44,M,True,Email,1801.88,6,1285
CUST-00024,customer_00024@email.com,Emily,Miller,2023-05-07,Bronze,West,New York,36,Prefer not to say,False,Email,3637.98,36,945
CUST-00025,customer_00025@email.com,Mike,Garcia,2021-05-12,Bronze,West,Chicago,26,Other,True,Push,2490.96,5,1670
CUST-00026,customer_00026@email.com,Chris,Williams,2020-12-08,Silver,West,Phoenix,48,M,True,Push,4723.9,47,1825
CUST-00027,customer_00027@email.com,Lisa,Jones,2023-07-04,Bronze,Central,Houston,47,M,True,Push,83.5,26,887
CUST-00028,customer_00028@email.com,Chris,Miller,2021-11-11,Silver,East,San Diego,39,Prefer not to say,True,Push,1637.29,45,1487
CUST-00029,customer_00029@email.com,Lisa,Williams,2021-02-15,Silver,South,San Antonio,38,Other,False,SMS,1663.14,18,1756
CUST-00030,customer_00030@email.com,Chris,Williams,2024-07-30,Bronze,North,Austin,30,F,True,,4717.73,14,495
CUST-00031,customer_00031@email.com,David,Miller,2022-06-16,Bronze,North,San Antonio,61,Prefer not to say,True,Push,1248.0,43,1270
CUST-00032,customer_00032@email.com,Chris,Miller,2020-11-11,Silver,West,Los Angeles,46,Prefer not to say,False,,2741.04,24,1852
CUST-00033,customer_00033@email.com,Jane,Smith,2023-12-07,Gold,South,Philadelphia,28,M,False,Push,4830.3,28,731
CUST-00034,customer_00034@email.com,John,Smith,2020-08-04,Gold,East,Houston,50,F,False,Push,1986.11,50,1951
CUST-00035,customer_00035@email.com,Mike,Williams,2023-10-23,Bronze,North,San Diego,24,Other,False,Email,624.54,47,776
CUST-00036,customer_00036@email.com,Emily,Williams,2020-10-17,Silver,East,San Diego,68,F,False,Push,2407.0,29,1877
CUST-00037,customer_00037@email.com,Lisa,Williams,2024-01-18,Bronze,North,Phoenix,20,M,True,Push,3257.45,44,689
CUST-00038,customer_00038@email.com,Mike,Garcia,2024-06-26,Bronze,South,Dallas,29,F,True,,4794.39,15,529
CUST-00039,customer_00039@email.com,Chris,Garcia,2024-06-21,Silver,South,Chicago,58,Prefer not to say,False,Email,3700.07,13,534
CUST-00040,customer_00040@email.com,Chris,Brown,2022-07-09,Bronze,North,Houston,31,Other,True,Email,4007.54,35,1247
CUST-00041,customer_00041@email.com,Emily,Williams,2021-01-17,Gold,South,San Diego,25,Other,False,Push,3005.01,40,1785
CUST-00042,customer_00042@email.com,Jane,Williams,2022-03-14,Gold,East,San Diego,57,F,True,Email,3376.94,21,1364
CUST-00043,customer_00043@email.com,Sarah,Williams,2020-08-29,Bronze,North,Chicago,41,F,False,,3002.31,37,1926
CUST-00044,customer_00044@email.com,Chris,Johnson,2022-02-24,Bronze,West,Dallas,62,F,True,,1479.73,12,1382
CUST-00045,customer_00045@email.com,Lisa,Jones,2021-10-06,Gold,North,Philadelphia,18,Prefer not to say,True,SMS,4085.32,36,1523
CUST-00046,customer_00046@email.com,Lisa,Brown,2022-11-01,Bronze,West,San Antonio,63,Prefer not to say,False,SMS,459.22,2,1132
CUST-00047,customer_00047@email.com,Sarah,Williams,2024-06-17,Bronze,North,Phoenix,32,Other,True,,2849.97,50,538
CUST-00048,customer_00048@email.com,Lisa,Jones,2024-04-17,Bronze,Central,Los Angeles,54,M,True,Push,2733.11,49,599
CUST-00049,customer_00049@email.com,Lisa,Jones,2020-03-26,Bronze,South,San Antonio,24,F,True,Email,2276.18,23,2082
CUST-00050,customer_00050@email.com,Jane,Brown,2024-07-30,Platinum,North,Houston,31,Other,False,SMS,3099.95,14,495
CUST-00051,customer_00051@email.com,Sarah,Miller,2024-07-24,Bronze,North,Austin,40,Other,True,Push,4896.05,19,501
CUST-00052,customer_00052@email.com,David,Miller,2021-08-15,Bronze,Central,Los Angeles,26,Prefer not to say,True,Push,4341.89,9,1575
CUST-00053,customer_00053@email.com,Mike,Johnson,2023-12-07,Gold,South,Philadelphia,71,F,False,,753.75,41,731
CUST-00054,customer_00054@email.com,Chris,Brown,2021-07-04,Silver,West,Los Angeles,58,M,False,Push,3488.78,24,1617
CUST-00055,customer_00055@email.com,Lisa,Williams,2022-07-20,Silver,Central,New York,73,M,False,Push,4258.03,35,1236
CUST-00056,customer_00056@email.com,Sarah,Brown,2022-03-25,Bronze,South,San Diego,35,Other,True,Push,2759.19,9,1353
CUST-00057,customer_00057@email.com,Lisa,Miller,2023-03-05,Bronze,East,New York,20,M,False,Email,664.97,11,1008
CUST-00059,customer_00059@email.com,Emily,Williams,2020-07-10,Bronze,North,Philadelphia,60,F,True,,3146.74,47,1976
CUST-00060,customer_00060@email.com,Sarah,Brown,2023-12-03,Gold,North,Los Angeles,18,F,False,Email,706.86,15,735
CUST-00061,customer_00061@email.com,Lisa,Smith,2022-11-29,Gold,North,Philadelphia,70,M,False,SMS,2414.62,15,1104
CUST-00062,customer_00062@email.com,Jane,Garcia,2022-02-23,Bronze,North,Los Angeles,38,Other,True,SMS,1944.47,49,1383
CUST-00063,customer_00063@email.com,Mike,Smith,2020-09-29,Gold,Central,Austin,18,F,False,Push,3626.04,41,1895
CUST-00064,customer_00064@email.com,Mike,Brown,2024-03-12,Bronze,Central,San Diego,73,F,True,Email,743.07,8,635
CUST-00065,customer_00065@email.com,Chris,Williams,2023-04-22,Gold,West,Philadelphia,68,F,True,Push,3240.87,16,960
CUST-00066,customer_00066@email.com,David,Miller,2023-02-07,Silver,North,Phoenix,31,F,False,Push,3248.54,16,1034
CUST-00067,customer_00067@email.com,Chris,Smith,2022-10-10,Bronze,South,San Diego,58,M,True,Push,4672.93,9,1154
CUST-00068,customer_00068@email.com,Chris,Williams,2022-03-03,Silver,Central,Chicago,66,Prefer not to say,True,Email,2957.45,1,1375
CUST-00069,customer_00069@email.com,Sarah,Smith,2021-06-20,Gold,North,San Antonio,50,Other,False,,3523.96,6,1631
CUST-00070,customer_00070@email.com,Mike,Williams,2023-08-04,Silver,North,Phoenix,23,F,True,Push,1984.12,41,856
CUST-00072,customer_00072@email.com,John,Williams,2023-05-31,Silver,South,Los Angeles,18,F,True,SMS,2507.24,23,921
CUST-00073,customer_00073@email.com,David,Johnson,2022-12-07,Silver,East,Chicago,65,Other,True,Email,1708.3,28,1096
CUST-00074,customer_00074@email.com,Jane,Williams,2021-07-11,Bronze,Central,Los Angeles,49,Prefer not to say,True,Email,2523.07,37,1610
CUST-00075,customer_00075@email.com,Emily,Johnson,2020-12-07,Silver,East,Los Angeles,75,M,True,Email,267.99,1,1826
CUST-00076,customer_00076@email.com,John,Brown,2021-05-15,Silver,East,San Antonio,27,F,True,,1161.35,16,1667
