customer_id,email,first_name,last_name,signup_date,segment,region,city,age,gender,marketing_opt_in,preferred_channel,lifetime_value,total_orders
CUST-00001,customer_00001@email.com,Chris,Jones,2022-04-25,Silver,Central,Chicago,42,F,True,SMS,1684.8,6
CUST-00002,customer_00002@email.com,Emily,Smith,2022-07-10,Bronze,Central,Houston,-1,Other,False,Email,4374.42,13
CUST-00003,customer_00003@email.com,Sarah,Brown,2024-07-05,Bronze,South,Philadelphia,37,M,True,SMS,4812.28,8
CUST-00004,customer_00004@email.com,Lisa,Johnson,2024-03-09,Bronze,Central,Houston,43,F,True,Push,1934.28,35
CUST-00005,customer_00005@email.com,Emily,Williams,2023-08-21,Gold,East,Philadelphia,50,Prefer not to say,False,Email,4023.94,47
CUST-00006,customer_00006@email.com,Emily,Johnson,2022-08-19,Bronze,East,Philadelphia,44,M,True,SMS,130.29,36
CUST-00007,customer_00007@email.com,Chris,Williams,2023-04-11,Gold,South,Houston,39,F,False,SMS,2521.54,42
CUST-00008,invalid-email,Emily,Williams,2023-11-03,Bronze,West,San Diego,47,F,True,SMS,742.79,35
CUST-00009,customer_00009@email.com,Mike,Jones,2022-09-27,Bronze,North,Dallas,20,M,True,Email,2091.34,41
CUST-00010,customer_00010@email.com,Jane,Garcia,2021-04-18,Silver,South,New York,31,Prefer not to say,True,Email,3108.28,43
CUST-00011,customer_00011@email.com,Lisa,Garcia,2023-06-16,Bronze,West,New York,18,Prefer not to say,True,Email,2670.62,18
CUST-00012,customer_00012@email.com,David,Smith,2023-01-02,Silver,Central,San Antonio,69,F,True,Email,2645.71,16
CUST-00013,customer_00013@email.com,David,Miller,2021-01-28,Gold,East,Phoenix,68,Prefer not to say,True,Push,4798.52,30
CUST-00014,customer_00014@email.com,Sarah,Garcia,2023-03-03,Gold,South,Phoenix,61,M,True,Email,2056.13,25
CUST-00015,customer_00015@email.com,Lisa,Smith,2023-02-05,Bronze,North,Chicago,23,Prefer not to say,False,Push,2850.99,7
CUST-00016,customer_00016@email.com,John,Johnson,2022-12-17,Bronze,South,Austin,48,Other,True,Email,3437.92,18
CUST-00017,customer_00017@email.com,John,Johnson,2023-01-17,Gold,East,New York,31,F,False,Email,1531.42,37
CUST-00018,customer_00018@email.com,Chris,Garcia,2021-05-07,Gold,Central,Philadelphia,42,F,True,Push,315.8,28
CUST-00019,customer_00019@email.com,Jane,Williams,2021-04-20,Bronze,Central,Austin,56,Prefer not to say,True,Email,3188.91,29
CUST-00020,customer_00020@email.com,Sarah,Williams,2022-10-01,Gold,Central,San Antonio,45,F,False,Email,3872.23,19
CUST-00021,customer_00021@email.com,Sarah,Garcia,2024-06-22,Silver,North,Los Angeles,35,F,False,SMS,3711.29,21
CUST-00022,customer_00022@email.com,Jane,Smith,2022-01-08,Bronze,North,Phoenix,46,Other,True,Email,705.91,12
CUST-00023,customer_00023@email.com,Lisa,Jones,2022-06-01,Gold,Central,Dallas,44,M,True,Email,1801.88,6
CUST-00024,customer_00024@email.com,Emily,Miller,2023-05-07,Bronze,West,New York,36,Prefer not to say,False,Email,3637.98,36
CUST-00025,customer_00025@email.com,Mike,Garcia,2021-05-12,Bronze,West,Chicago,26,Other,True,Push,2490.96,5
CUST-00026,customer_00026@email.com,Chris,Williams,2020-12-08,Silver,West,Phoenix,48,M,True,Push,4723.9,47
CUST-00027,customer_00027@email.com,Lisa,Jones,2023-07-04,Bronze,Central,Houston,47,M,True,Push,83.5,26
CUST-00028,customer_00028@email.com,Chris,Miller,2021-11-11,Silver,East,San Diego,39,Prefer not to say,True,Push,1637.29,45
CUST-00029,customer_00029@email.com,Lisa,Williams,2021-02-15,Silver,South,San Antonio,38,Other,False,SMS,1663.14,18
CUST-00030,customer_00030@email.com,Chris,Williams,2024-07-30,Bronze,North,Austin,30,F,True,None,4717.73,14
CUST-00031,customer_00031@email.com,David,Miller,2022-06-16,Bronze,North,San Antonio,61,Prefer not to say,True,Push,1248.0,43
